dataset,condition,help,harm,n,net_effect,help_rate,harm_rate
TSShapeQA-OOD,OpenTSLM cap+num,60,133,800,-0.091,0.075,0.16625
TSShapeQA-OOD,ChatTS cap+num,181,184,800,-0.004,0.22625,0.23
TSAQA,OpenTSLM cap+num,63,113,996,-0.05,0.06325301204819277,0.11345381526104417
TSAQA,ChatTS cap+num,82,109,996,-0.027,0.0823293172690763,0.10943775100401607
dataset_a,OpenTSLM cap+num,8,7,115,0.009,0.06956521739130435,0.06086956521739131
dataset_a,ChatTS cap+num,40,3,115,0.322,0.34782608695652173,0.02608695652173913
FREDQA,OpenTSLM cap+num,12,11,604,0.0017,0.019867549668874173,0.018211920529801324
FREDQA,ChatTS cap+num,10,15,604,-0.0083,0.016556291390728478,0.024834437086092714
